Model,CV Macro-F1 (Mean ± Std),Test Accuracy,Test Macro-Precision,Test Macro-Recall,Test Macro-F1,Test Weighted-F1,Log-Loss
RandomForest,0.9949 ± 0.0052,0.9954545454545455,0.9956709956709957,0.9954545454545454,0.9954517027687758,0.9954517027687759,0.05643662767885729
XGBoost,0.9943 ± 0.0036,0.9886363636363636,0.9895710350255804,0.9886363636363634,0.9886121580601682,0.9886121580601686,0.036783232254468216
MLP,0.9453 ± 0.0170,0.9727272727272728,0.9737128634257821,0.9727272727272727,0.9726305572903776,0.9726305572903776,0.11149658254175815
LogisticRegression,0.9678 ± 0.0068,0.9727272727272728,0.9740217299040829,0.9727272727272727,0.9724640256149183,0.9724640256149185,0.19982578913224852
